Pot Structure mpid RMS imagmodes(pot) imagmodes(dft) 
Fig_4_only_individual_f_0.0001 22 mp-149 0.22495112800992292 True False
Fig_4_only_individual_f_0.0001 23 mp-16220 0.4842345303318067 False False
Fig_4_only_individual_f_0.0001 24 mp-165 0.34160784113199677 False False
Fig_4_only_individual_f_0.0001 25 mp-168 0.47267895993399867 False False
Fig_4_only_individual_f_0.0001 28 mp-571520 0.35269043798566935 False False
Fig_4_only_individual_f_0.0001 32 mp-971661 0.11820621942252851 False False
Fig_4_only_individual_f_0.0001 33 mp-971662 0.07437407345363035 False False
Fig_4_only_individual_f_0.0001 34 mp-999200 0.7305176014452616 False False
Fig_4_combined_f_0.1000 5 mp-1072544 0.3083528823834659 False False
Fig_4_combined_f_0.1000 6 mp-1079297 0.24763182463122355 False False
Fig_4_combined_f_0.1000 9 mp-1095269 0.28908863647644484 False False
Fig_4_combined_f_0.1000 15 mp-1200830 0.1428811036184273 False False
Fig_4_combined_f_0.1000 18 mp-1203790 0.12439953474485022 False False
Fig_4_combined_f_0.1000 22 mp-149 0.29881246247794013 False False
Fig_4_combined_f_0.1000 23 mp-16220 0.17505595729470588 False False
Fig_4_combined_f_0.1000 24 mp-165 0.18180900232435654 False False
Fig_4_combined_f_0.1000 25 mp-168 0.23853007551359673 False False
Fig_4_combined_f_0.1000 28 mp-571520 0.3515560578064958 False False
Fig_4_combined_f_0.1000 32 mp-971661 0.2389351078326827 False False
Fig_4_combined_f_0.1000 33 mp-971662 0.1684458414350117 False False
Fig_4_combined_f_0.1000 34 mp-999200 0.2398249565444958 False False
Fig_4_combined_f_0.0100 5 mp-1072544 0.14280707374969098 False False
Fig_4_combined_f_0.0100 6 mp-1079297 0.12150654840770145 False False
Fig_4_combined_f_0.0100 9 mp-1095269 0.12390297225303686 False False
Fig_4_combined_f_0.0100 15 mp-1200830 0.06152202675731938 False False
Fig_4_combined_f_0.0100 18 mp-1203790 0.05285319692657743 False False
Fig_4_combined_f_0.0100 22 mp-149 0.12054092285461374 False False
Fig_4_combined_f_0.0100 23 mp-16220 0.20291885205530188 False False
Fig_4_combined_f_0.0100 24 mp-165 0.15729688364774394 False False
Fig_4_combined_f_0.0100 25 mp-168 0.16326496353566647 False False
Fig_4_combined_f_0.0100 28 mp-571520 0.11488508662776152 False False
Fig_4_combined_f_0.0100 32 mp-971661 0.0732425736366839 False False
Fig_4_combined_f_0.0100 33 mp-971662 0.08959096515706795 False False
Fig_4_combined_f_0.0100 34 mp-999200 0.09753971796122439 False False
Fig_4_combined_f_0.0010 5 mp-1072544 0.10425060012272623 False False
Fig_4_combined_f_0.0010 6 mp-1079297 0.14585830583817236 False False
Fig_4_combined_f_0.0010 9 mp-1095269 0.08452897159041708 False False
